entity,comtrade,sovereign_bond
AFG,1,0
ALA,0,0
ALB,1,0
DZA,1,0
ASM,0,0
AND,1,0
AGO,1,0
AIA,1,0
ATA,0,0
ATG,1,0
ARG,1,0
ARM,1,0
ABW,1,0
AUS,1,1
AUT,1,0
AZE,1,0
BHS,1,0
BHR,1,0
BGD,1,0
BRB,1,0
BLR,1,0
BEL,1,1
BLZ,1,0
BEN,1,0
BMU,1,0
BTN,1,0
BOL,1,0
BES,1,0
BIH,1,0
BWA,1,0
BVT,0,0
BRA,1,0
IOT,0,0
BRN,1,0
BGR,1,0
BFA,1,0
BDI,1,0
CPV,1,0
KHM,1,0
CMR,1,0
CAN,1,1
CYM,1,0
CAF,1,0
TCD,1,0
CHL,1,0
CHN,1,1
CXR,0,0
CCK,0,0
COL,1,0
COM,1,0
COG,1,0
COD,1,0
COK,0,0
CRI,1,0
CIV,1,0
HRV,1,0
CUB,1,0
CUW,0,0
CYP,1,0
CZE,1,0
DNK,1,1
DJI,1,0
DMA,1,0
DOM,1,0
ECU,1,0
EGY,1,0
SLV,1,0
GNQ,1,0
ERI,1,0
EST,1,0
SWZ,1,0
ETH,1,0
FLK,1,0
FRO,0,0
FJI,1,0
FIN,1,0
FRA,1,1
GUF,1,0
PYF,1,0
ATF,0,0
GAB,1,0
GMB,1,0
GEO,1,0
DEU,1,1
GHA,1,0
GIB,1,0
GRC,1,1
GRL,1,0
GRD,1,0
GLP,1,0
GUM,0,0
GTM,1,0
GGY,0,0
GIN,1,0
GNB,1,0
GUY,1,0
HTI,1,0
HMD,0,0
VAT,1,0
HND,1,0
HKG,1,1
HUN,1,1
ISL,1,0
IND,1,1
IDN,1,1
IRN,1,0
IRQ,1,0
IRL,1,1
IMN,0,0
ISR,1,0
ITA,1,1
JAM,1,0
JPN,1,1
JEY,0,0
JOR,1,0
KAZ,1,0
KEN,1,0
KIR,1,0
PRK,1,0
KOR,1,1
KWT,1,0
KGZ,1,0
LAO,1,0
LVA,1,0
LBN,1,0
LSO,1,0
LBR,1,0
LBY,1,0
LIE,0,0
LTU,1,0
LUX,1,0
MAC,1,0
MDG,1,0
MWI,1,0
MYS,1,1
MDV,1,0
MLI,1,0
MLT,1,0
MHL,1,0
MTQ,1,0
MRT,1,0
MUS,1,0
MYT,1,0
MEX,1,1
FSM,1,0
MDA,1,0
MCO,0,0
MNG,1,0
MNE,1,0
MSR,1,0
MAR,1,0
MOZ,1,0
MMR,1,0
NAM,1,0
NRU,0,0
NPL,1,0
NLD,1,1
NCL,1,0
NZL,1,1
NIC,1,0
NER,1,0
NGA,1,0
NIU,0,0
NFK,0,0
MKD,1,0
MNP,1,0
NOR,1,1
OMN,1,0
PAK,1,0
PLW,1,0
PSE,1,0
PAN,1,0
PNG,1,0
PRY,1,0
PER,1,0
PHL,1,1
PCN,0,0
POL,1,1
PRT,1,1
PRI,0,0
QAT,1,0
REU,1,0
ROU,1,0
RUS,1,0
RWA,1,0
BLM,1,0
SHN,1,0
KNA,1,0
LCA,1,0
MAF,0,0
SPM,1,0
VCT,1,0
WSM,1,0
SMR,1,0
STP,1,0
SAU,1,0
SEN,1,0
SRB,1,0
SYC,1,0
SLE,1,0
SGP,1,1
SXM,1,0
SVK,1,0
SVN,1,0
SLB,1,0
SOM,1,0
ZAF,1,1
SGS,0,0
SSD,1,0
ESP,1,1
LKA,1,0
SDN,1,0
SUR,1,0
SJM,0,0
SWE,1,1
CHE,1,0
SYR,0,0
TWN,0,1
TJK,1,0
TZA,1,0
THA,1,1
TLS,1,0
TGO,1,0
TKL,1,0
TON,1,0
TTO,1,0
TUN,1,0
TUR,1,0
TKM,1,0
TCA,1,0
TUV,1,0
UGA,1,0
UKR,1,0
ARE,1,0
GBR,1,1
USA,1,1
UMI,0,0
URY,1,0
UZB,1,0
VUT,1,0
VEN,1,0
VNM,1,0
VGB,1,0
VIR,1,0
WLF,1,0
ESH,0,0
YEM,1,0
ZMB,1,0
ZWE,1,0
WD,0,0
EU,0,0
EZ,0,0
